prefix,name,gene,moonPhase,attributes__generation,description,image,attributes__trait1,attributes__trait2,attributes__mobility,attributes__intelligence,attributes__ability,attributes__aura,attributes__spirit
MCFUB,Fulton,Falcon,Waxing Crescent,2,"Fulton’s learned to own its appeal, but has also strengthened its ability to demonstrate great compassion for others. This falcon is a future (unintentional) heart-breaker who has not let its good looks get to its head, or heart.",https://ttm.mypinata.cloud/ipfs/QmXKxgqUMHpKsYv61bWBAsXD2jABQdxaw2XxR7RzSqwWRc,Charisma,Kind,,,,,
MCFUC,Fulton,Falcon,First Quarter,3,"You thought young Fulton was a sight for sore eyes, check out the third-gen. This falcon is back with even more allure and luckily, tenderness to balance it out. ",https://ipfs.tothemoon.net/ipfs/QmcndLBXnhbFRPFqj32h6Qq3PVUDFVtHe2b4mrJUMwbF2a,Charisma,Kind,,,,,
MCFUD,Fulton,Falcon,Waxing Gibbous,4,"Finally, Fulton has learned to use its killer looks to its advantage. Instead of being the cute-but-doesn't-know-it bird it once was, this falcon uses its charm to convince stubborn souls to do the right thing.",https://ipfs.tothemoon.net/ipfs/bafkreifm5sa3wkden5ubf3qiiej6xhymwr574a3qbxz56iz62zwfg3ivye,Charisma,Kind,,,,,
MCPO,Posey,Parrot,New Moon,1,"Posey just keeps on giving, and its grace only makes it more popular with others. It is a beautiful parrot inside and out, thanks to its benevolent attitude.",https://ipfs.tothemoon.net/ipfs/QmU1zy5cmursyxqpCywq6F11Fkv3aq3AyPcCpW6H4Eyytg,Charm,Generosity,,,,,
MCPOB,Posey,Parrot,Waxing Crescent,2,"This parrot is the same as before, but shares even more of its moon crackers. Posey is a magnet to those around it, thanks to its vibrant appearance and attitude.",https://ttm.mypinata.cloud/ipfs/QmPJVJyRit89c8ULXKnDVzt9DfahuSeFCN3FjpoZPFKRsW,Charm,Generosity,,,,,
MCPOC,Posey,Parrot,First Quarter,3,Posey is the gift that keeps on giving. Its drawing personality shines far beyond its bright feathers as this parrot is extremely gracious and never holds back on kindness.,https://ipfs.tothemoon.net/ipfs/QmWCM9DxUf8vS5EQ8rz9Vdy2D5nCtntfKVFp6Bg4wrPfdT,Charm,Generosity,,,,,
MCPOD,Posey,Parrot,Waxing Gibbous,4,"Posey is not wasting its days imitating others, but instead, it continues to find countless ways to spread joy. There's nothing mundane about this parrot.",https://ipfs.tothemoon.net/ipfs/bafkreihqb4vuvvsnlfjmzsu32oxuzxuzvm6nl3nzz3aqa4usxdfyvipmra,Charm,Generosity,,,,,
MCH,Holden,Hawk,New Moon,1,"Holden always knows the smartest and fastest way. Whether it is a path to a destination or solution to a problem, this hawk is ready to help.",https://ipfs.tothemoon.net/ipfs/QmfYCegc4QHFzeToeihMXrZtqY8Fpzqy6bvbHYTLMjDcWG,Reliability,Efficiency,,,,,
MCHB,Holden,Hawk,Waxing Crescent,2,"If its quickness wasn’t enough, then its consistency would certainly make up for it. Faster than the speed of light, Holden’s spectacular speed is nothing that’s ever been seen on earthly hawks and it will reach that record- breaking velocity every time.",https://ttm.mypinata.cloud/ipfs/QmRXT8PSyHdRiTXCJcUJxwiUtSt7gVv25FG8eeAcHq6MeG,Reliability,Efficiency,,,,,
MCHC,Holden,Hawk,First Quarter,3,"With a more majestic look, this hawk has earned its fine feathers. Holden is still among the fastest of the bird creatures and uses its killer hawk eyes to scour out the best route.",https://ipfs.tothemoon.net/ipfs/QmbyB7rAGBJGyJffMo5wETCXocB5jqAveN9yXzSvB9bsqK,Reliability,Efficiency,,,,,
MCHD,Holden,Hawk,Waxing Gibbous,4,"You can still bet on Holden being the first to cross the finish line, as well as be there for those in need. This hawk may seem too illustrious to be truly counted on, but this creature's never forgotten its core self.",https://ipfs.tothemoon.net/ipfs/bafkreiecnteh4quzqovkdvxofc4xg74wqk4wezlgasrvwscv44kfgnlv6u,Reliability,Efficiency,,,,,
MCO,Orson,Owl,New Moon,1,"As a creature of the night, Orson spends the dark hours on the lookout, ready for anything. This owl knows how to change course when needed.",https://ipfs.tothemoon.net/ipfs/QmNRu9xkmzuWkosx5PF3zy8WRtYrmv3uTzEVC2rKY92ZJy,Adaptability,Alert,,,,,
MCOB,Orson,Owl,Waxing Crescent,2,"The night watch must remain agile and ready, and boy, is that ever Orson. This owl has grown into its role and only sharpened the needed skills.",https://ttm.mypinata.cloud/ipfs/QmdWJjTfmL754iegxr566cqgEWfdxQBXqTxA9B2tQbnrwK,Adaptability,Alert,,,,,
MCOC,Orson,Owl,First Quarter,3,"With an even later bedtime than before, Orson is able to remain on watch longer and therefore be even more connected with the happenings of the moon. Minute by minute this owl is on the watch, ready to make necessary moves.",https://ipfs.tothemoon.net/ipfs/QmSgn6cicMx6WyinvvqTFJgFskzJyumXE3UUgUN6qpsY1e,Adaptability,Alert,,,,,
MCOD,Orson,Owl,Waxing Gibbous,4,"Having perfected its “On Guard” stance, Orson is now able to see and process everything going on around it- yes, the full 360 degrees! This owl can also switch its focus within 1/100th of an earthly second.",https://ipfs.tothemoon.net/ipfs/bafkreib2fdyb4hi4uguow4iepakw3p7a6sw7nv736x7s5fr2e4kub4yepi,Adaptability,Alert,,,,,
MCCH,Chantz,Cheetah,New Moon,1,"Able to hypnotize anyone with its appeal, this beautiful cheetah has a powerful impact over those around it. Chantz has the influence of a fierce politician, but with pure intentions.",https://ipfs.tothemoon.net/ipfs/QmcqGHte4mgsxPG7AoZZgzr7uJQDcJydRorQ677jY3yTpg,Charisma,Charm,,,,,
MCCHB,Chantz,Cheetah,Waxing Crescent,2,All that allure comes with great responsibility and power. Chantz is aware of its magnetism and luckily never takes advantage of it. This cheetah is of solid integrity and that makes it all the more loveable.,https://ttm.mypinata.cloud/ipfs/QmYjh9SAQ8HuWtDjtMemcg6iM2NuBzbX2h59JZMX7wrUEa,Charisma,Charm,,,,,
MCCHC,Chantz,Cheetah,First Quarter,3,"With fur always perfectly placed and a bewitching attitude, this cheetah is adored by all around it. Chantz understands that all that glitters isn’t gold (like on its stunning adult coat) so it doesn’t let it get to its head.",https://ipfs.tothemoon.net/ipfs/QmPbrX6kfkZnyCNMKJfKZJfKzoidaqfkYP4agyGSJ3GiPA,Charisma,Charm,,,,,
MCCHD,Chantz,Cheetah,Waxing Gibbous,4,"Simply en-Chantz-ing! This cheetah has always effortlessly drawn others to it, but even more so now that it's rocking those adult spots. It's impossible NOT to notice it when it walks into a room. Good thing humility still has its part in that allure.",https://ipfs.tothemoon.net/ipfs/bafkreieni25cv5qzvihuvftnbe7dskawo25kz7amfiipjuvzs33fuozcom,Charisma,Charm,,,,,
MCW,Wila,Wolf,New Moon,1,"What good is being hungry like a wolf without the determination to catch your prey? Luckily, Wila has both- backed up by experience and technique.",https://ipfs.tothemoon.net/ipfs/QmcFkLQakD75zxMbTuM8tBxN2sFUAGG5WiZYEBtN2NjA1P,Skillful,Discipline,,,,,
MCWB,Wila,Wolf,Waxing Crescent,2,"Wila’s boldness radiates from its eyes, beyond the vibrant mask framing them. This wolf’s valor is only amplified through its competency.",https://ttm.mypinata.cloud/ipfs/QmRYuezeKj21MD3Fi8Q7SDtwit8dneptVFWdYPuxBFDUsm,Skillful,Discipline,,,,,
MCWC,Wila,Wolf,First Quarter,3,"Exuding fierceness, Wila’s piercing look depicts its self-mastery and talent. It is one tenacious wolf with keen senses that have only developed further with time.",https://ipfs.tothemoon.net/ipfs/QmNWzf4NFAv12QJKat6Y74WTSL3DWdjKPDnwyAQE7rrjFR,Skillful,Discipline,,,,,
MCWD,Wila,Wolf,Waxing Gibbous,4,If someone didn't know better they'd say steer clear of this terrifying beast. That someone would also be disregarding one of the most powerful creatures to exist as this wolf has the mastery to achieve anything without the use of intimidation or violence.,https://ipfs.tothemoon.net/ipfs/bafkreiafbmzeuar4ap4ds3cxdagm4ht63srf2ju72cgbhnrvq6jrvc7y4u,Skillful,Discipline,,,,,
MCDJ,Django,Giraffe,New Moon,1,"Agile, creative, and ready for adventure. Django is a giraffe who uses its above-the-trees view to its advantage and is known for an innovative, whimsical approach to life.",https://ipfs.tothemoon.net/ipfs/QmVKwEuoFvMsRQwqShew31eT5hg13XonhA2aiJDCz3mBz5,Clever,Imagination,,,,,
MCDJB,Django,Giraffe,Waxing Crescent,2,"With a few more feet to it than before, Django is a creative mastermind who uses its intelligence as an anchor for its eccentric approach. This giraffe knows how to make the most of the view.",https://ttm.mypinata.cloud/ipfs/Qmeq939RwatWV1z7N9bgneVHnR4eYGEPqMHNyPueZtoVhv,Clever,Imagination,,,,,
MCDJC,Django,Giraffe,First Quarter,3,"Though its height will never exceed its creativity, Django has hit another spurt! Pretty soon the term will be ""Django-eye view"" describing an uncommon, sharper perspective.",https://ipfs.tothemoon.net/ipfs/QmNnc4DnXxAWC59R1i3Eekr52yXJc3Wq3utzBzCY3MAAPC,Clever,Imagination,,,,,
MCDJD,Django,Giraffe,Waxing Gibbous,4,"It's done it again, folks! Multiplied its size, smarts and out-of-the-box thinking tenfold! Just when we thought Django couldn't reinvent the wheel again- it did! Good luck keeping up with this giraffe's bewildering ideas.",https://ipfs.tothemoon.net/ipfs/bafkreiabqfhnwnxkpx5xdly4iyns4we47i5wt3577fakqmvgytdqahzhba,Clever,Imagination,,,,,
MCDA,Daxton,Dragon,New Moon,1,Every year is the Year of the Dragon when you are this blessed. Daxton is armed with the fearlessness and true valor of the type of dragon's they write tales about.,https://ipfs.tothemoon.net/ipfs/QmaqyTMuFTPCmRogcyeACfiJ6q31WD2CbAuDubbJtiGi1H,Courage,Luck,,,,,
MCDAB,Daxton,Dragon,Waxing Crescent,2,"Still not the type to spit fire on a moon castle, but Daxton does have the bravery to overcome anything. This dragon is as gallant as they come. It always makes the right moves as everything in its life can only be described as kismet.",https://ttm.mypinata.cloud/ipfs/QmQ1gLG3uby6dQkvcuvJUPLjoR6DGeZ48hxAASDtyYhYvb,Courage,Luck,,,,,
MCDAC,Daxton,Dragon,First Quarter,3,"Blessed with some major claw and wing development, nature has been kind to Daxton- that’s probably because it always has been. This valiant dragon also has the fortitude of one hundred knights ready to save the princess.",https://ipfs.tothemoon.net/ipfs/QmRdKkFcuszC9TBcesuN65Tjiv1J75ubHc8sxhdH8Lwvat,Courage,Luck,,,,,
MCDAD,Daxton,Dragon,Waxing Gibbous,4,"It's not everyday one comes across the grit of Daxton. This dragon can slay and the universe knows it, which is why it always backs it up in his great, noble pursuits.",https://ipfs.tothemoon.net/ipfs/bafkreibqjcdcrgfwofudzbmdo25amht4kybwwd5mo6kj36ij4r4farqjaa,Courage,Luck,,,,,
MCSA,Saturn,Squirrel,New Moon,1,"Always looking for more ways to contribute to the community, Saturn is an inquisitive, thoughtful squirrel. It would never hoard his acorns, instead it is more of the type to share its last few.",https://ipfs.tothemoon.net/ipfs/QmYEMM7Z4oL3VP6BxoytBsXv79yp3gXvgDoaixhGPHpxxv,Generosity,Curiosity,,,,,
MCSAB,Saturn,Squirrel,Waxing Crescent,2,"It seems the bushier its tail gets, the more benevolent it becomes. Along with its kindness, Saturn the squirrel leaves no tree unexplored and will always share its findings with others.",https://ttm.mypinata.cloud/ipfs/QmbFNRKSPeAfz6yKFWYjqMML29XDCbJvb5jVYfPqR6jRSY,Generosity,Curiosity,,,,,
MCSAC,Saturn,Squirrel,First Quarter,3,"They say a squirrel's front teeth never stop growing, well neither does Saturn’s charitableness. This noble creature only knows how to give- and explore. This includes its ability to spread lush trees onto bare territory through gifting its acorns to the moon’s surface.",https://ipfs.tothemoon.net/ipfs/QmWqyTrcuha1eAV8pwmVtXUkCYEXkrWgP7zk2fjGmPBNVt,Generosity,Curiosity,,,,,
MCSAD,Saturn,Squirrel,Waxing Gibbous,4,"Leaving no acorn unturned, Saturn has always known the best way to help a community is to learn all there is about its environment. This squirrel has become the moon's resident pathfinder thanks to its inquisitive nature.",https://ipfs.tothemoon.net/ipfs/bafkreidazuuxxhpy7yxeyv2efs5doxbc3lo7bmc5tyguwfa4zp7y6yvoam,Generosity,Curiosity,,,,,
