prefix,name,description,moonPhase,image,attributes__gender,attributes__trait1,attributes__trait2,attributes__trait3,attributes__skill,attributes__aura,attributes__style
C164,Cryptonaut .164,"Just like her ancestors, .164 is always asking the important philosophical questions. Her capability of higher- order thinking makes this Cryptonaut very alluring to others. Got big questions regarding our existence, this girl is always ready to talk it out.",Waxing Gibbous,,Female,Reliability,Charm,,,,
C165,Cryptonaut .165,"Always among the first to find new land on the moon, .165 and his horned helmet are capable of handling the terrain. Adventure is always just around the corner for this Cryptonaut.",Waxing Gibbous,,Male,Responsibility,Curiosity,,,,
C166,Cryptonaut .166,The inventor of futuristic agricultural practices on the moon. .166 uses his Mayan roots to better the Cryptonaut’s relationship with the land. Ethical harvesting is this Cryptonaut’s main goal.,Waxing Gibbous,,Male,Efficiency,Kind,,,,
C167,Cryptonaut .167,"A U-shaped magnet, attracting all good things, .167 is secure in himself and his ability to talk to the right people at the right time. A bit of a schmoozer, but it’s all okay when it's for the greater good of the Cryptonauts.",Waxing Gibbous,,Male,Luck,Confidence,Sociable,,,
C168,Cryptonaut .168,"Imagine being so creative you could see the notes before you play them. .168 can do just that. But just because she’s a musical genius doesn’t mean her mind lives far away in la la land. No, this Cryptonaut is as present and grounded as they come.",Waxing Gibbous,,Female,Imagination,Conscientiousness,,,,
C169,Cryptonaut .169,"Doesn’t matter if skies are clear or storms roll in, .169 will make it to the other side with steady stride. If that calm confidence weren’t enough, this Cryptonaut knows how to brighten any forecast with undeniable charm.",Waxing Gibbous,,Male,Determination,Charm,,,,
C170,Cryptonaut .170,".170 can climb just about anything. Mountain, building, waterfall- you name it, this Cryptonaut can conquer it. Well aware of his strength, he’s ready for any challenge at a moment’s notice.",Waxing Gibbous,,Male,Adaptability,Confidence,Alert,,,
C171,Cryptonaut .171,".171 doesn’t blink when faced with a blazing, out of control fire. Tackling any problem with serenity and grace, no matter how massive, this Cryptonaut can handle it every single time and those around her rest assured knowing it.",Waxing Gibbous,,Female,Reliability,Calm,,,,
C172,Cryptonaut .172,"The only weapon .172 will pull out is that sharp humor of his. Eager to make everyone laugh, this Cryptonaut is on duty to make sure all are having a good time.",Waxing Gibbous,,Male,Enthusiasm,Wit,,,,
C173,Cryptonaut .173,"Always aware of the quickest route to the destination, .173 never lets a letter arrive late. He knows the Cryptonauts depend on efficient communication, and that’s what makes this cryptonaut an honorable civil servant.",Waxing Gibbous,,Male,Clever,Conscientiousness,,,,
C174,Cryptonaut .174,"No one knows if it’s her serene nature, or unwavering belief that what’s meant to happen will, but .174 embraces the bull running at her with arms wide open. This Cryptonaut is ready for whatever comes charging at her.",Waxing Gibbous,,Female,Faith,Enthusiasm,Calm,,,
C175,Cryptonaut .175,"Everyone is alway welcome at .175’s apiary, especially if you’re down for a good bee joke. This Cryptonaut handles the bees with grace and is in no rush to see results which is why they always make incredible amounts of honey.",Waxing Gibbous,,Female,Sociable,Wit,Calm,,,
C176,Cryptonaut .176,"Never one to miss the moment, you can always count on .176 to guide every arrival with perfect timing. Better yet, give this Cryptonaut a runway, and watch those signals shine the path home. A true champion of direction in every sense of the word.",Waxing Gibbous,,Female,Reliability,Respect,,,,
C177,Cryptonaut .177,"This skillful daredevil knows he can always reach higher and learn tricks he’s never even seen. .177 is very modest considering how brilliant of a biker he is, luckily this modesty doesn’t translate to pessimism since he knows his future can only get brighter from here.",Waxing Gibbous,,Male,Talent,Optimism,Humility,,,
C178,Cryptonaut .178,"With moves no one has ever seen, .178 is an ingenious artist blowing everyone’s mind away. Luckily, this Cryptonaut is as unpretentious as they come. He doesn’t let the talent of his elastic body go to his head.",Waxing Gibbous,,Male,Imagination,Humility,,,,
C179,Cryptonaut .179,.179 knows she will make it to the end of the longest tightrope and that’s much before anyone can walk the same distance. This Cryptonaut knows that being bold is the only way to accomplish her lofty goals.,Waxing Gibbous,,Female,Determination,Efficiency,,,,
C180,Cryptonaut .180,".180 knows that what he puts out into the universe will come swinging back at him, and that just doesn’t go for his boomerang. This Cryptonaut is a believer of good cosmic karma and understands that a great way to achieve that is to keep others laughing.",Waxing Gibbous,,Male,Conscientiousness,Humor,,,,
C181,Cryptonaut .181,"With the ability to play any tune, .181 is always open to requests. He’s eager to learn new chords and captivate the audience because this Cryptonaut can win anyone over with his unforgettable, unique sound.",Waxing Gibbous,,Male,Versatility,Charisma,Curiosity,,,
C182,Cryptonaut .182,.182 is always overjoyed to share his latest tricks. He even teaches others his secrets and never holds back. This Cryptonaut is a kind yo-yo master who shares his skill with others in hopes they will enjoy the beauty of the yo-yo sport as well.,Waxing Gibbous,,Male,Humility,Respect,Generosity,,,
C183,Cryptonaut .183,".183 sees beautiful sights, others can’t even imagine. The magic isn’t in her binoculars, but in her mind. This creative genius is also very giving as she uses her gift to contribute to the design of the universe.",Waxing Gibbous,,Female,Imagination,Generosity,,,,
C184,Cryptonaut .184,"Always shaking to a cheerful melody, .184 is determined to be the moon’s go-to party entertainer. This Cryptonaut always brings his best to the celebration because his job is to make sure every person in the room is having the time of their lives.",Waxing Gibbous,,Male,Optimism,Ambition,,,,
C185,Cryptonaut .185,Her spinning hula hoop mesmerizes all around .185. She then uses that fact to collect donations and give them to those in need. This Cryptonaut is as benevolent as they come.,Waxing Gibbous,,Female,Charm,Generosity,,,,
C186,Cryptonaut .186,"A master builder, .186 lets intelligence reign. He uses his blocks to depict a modern perspective only he can see and doesn’t ask for anything in return. This Cryptonaut is simply happy to be a brick in the final product that is TTM’s future.",Waxing Gibbous,,Male,Logic,Kind,Humility,,,
C187,Cryptonaut .187,"This social butterfly doesn’t need wings, she has a propeller cap that takes her from friend group to friend group. Everyone loves .187 due to her giving, compassionate spirit.",Waxing Gibbous,,Female,Sociable,Kind,Generosity,,,
C188,Cryptonaut .188,"Known as the “kingpin”, .188 is known to hit the center pin every time, and he makes solid strikes doing it! We’re not just talking about fallen pins- this Cryptonaut’s jokes take everyone out with a single roll.",Waxing Gibbous,,Male,Responsibility,Humor,,,,
C189,Cryptonaut .189,".189 always knows the smoothest way from point A to B and is ready for the next run. Known for staying aware of every move around her and never missing the right moment to act, this dependable Cryptonaut rides every path with confidence and control.",Waxing Gibbous,,Female,Alert,Responsibility,,,,
C190,Cryptonaut .190,There’s no point in even trying an extreme sport like fire dancing if you aren’t sure of your capabilities. .190 knows that and is ready to manipulate the flames into any form as he takes his work very seriously. Thank goodness for that because not everyone can handle this heat.,Waxing Gibbous,,Male,Adaptability,Conscientiousness,Confidence,,,
C191,Cryptonaut .191,"Always around to offer a gentle breeze, .191 is a kind soul who’s charity is her trademark. This Cryptonaut always knows the right thing to do and is not afraid to share this insight with others.",Waxing Gibbous,,Female,Respect,Generosity,,,,
C192,Cryptonaut .192,"Always keeping it light with his incredible slinky tricks, .192 is a true artist but will never admit it. This Cryptonaut knows that the real fun is amongst the “amateurs” even though his skill is far beyond that level.",Waxing Gibbous,,Male,Wit,Humility,,,,
C193,Cryptonaut .193,"This yogee understands that his practice is an exploration of all that his body is capable of and .193 is able to do it all. Known as the pretzel, this cryptonaut can move in magnificent ways.",Waxing Gibbous,,Male,Reliability,Curiosity,,,,
C194,Cryptonaut .194,"Somehow, all the pieces just fit together with .194. This Cryptonaut is always looking for the quickest way to see the bigger picture. Her intelligence allows her to work backwards from confusing problems to arrive at a simple solution.",Waxing Gibbous,,Female,Clever,Curiosity,,,,
C195,Cryptonaut .195,"Definitely the loudest of the crowd, .195 is dedicated to supporting those around him, which is what makes him so admired and loved. Nothing can stop this Cryptonaut from being not only a fan, but a true team player.",Waxing Gibbous,,Male,Determination,Charisma,,,,
C196,Cryptonaut .196,".196 trusts his gut when it comes to most things in life and horse jockeying is no different. The fastest racer any planet has ever seen, this Cryptonaut has a gift of pace and keeping hope alive, even when far behind the rest.",Waxing Gibbous,,Male,Faith,Intuition,,,,
C197,Cryptonaut .197,"Lights, camera, action! .197 is the movie star everyone loves to watch, regardless of the fact his camera is always rolling. This Cryptonaut loves to capture the magnificent sights of the moon and everyone loves him for it.",Waxing Gibbous,,Male,Charisma,Charm,,,,
C198,Cryptonaut .198,".198’s unwavering belief in the goodness of all Cryptonauts is as unbreakable as the chains in his hands. This Cryptonaut is also a master at setting up contraptions that lift and transfer power, making him crucial to the moon’s development.",Waxing Gibbous,,Male,Faith,Efficiency,,,,
C199,Cryptonaut .199,"With a knack for geography (of every planet), .199 uses her smarts and instincts to map out ideal travel routes for all. Not only that, she can pinpoint unexplored locations, making her part of the first step when it comes to discovering unchartered territory.",Waxing Gibbous,,Female,Logic,Intuition,,,,
C200,Cryptonaut .200,".200 sees how any situation will play out well before it does. With his creative visions, this Cryptonaut directs the group’s way to overcome obstacles. After all, what good story doesn’t have its setbacks? That is of course if the protagonist wins in the end and .200 makes sure of it.",Waxing Gibbous,,Male,Intuition,Imagination,,,,
